Importing file: temp_Stock Trades.csv
Detected Stock Trades.csv format - Clearing existing trades
Columns: ['Assets', 'Date', 'Ticker', ' Price ', 'Number of stocks', ' Bought ', ' Bought Amount ', 'Total number bought', 'Total Amount bought', 'Sold', 'Sold Amount', 'Total Sold number of stocks', 'Total sold amount', 'Average sell price', ' Average buy price ', ' Realized Profit ', ' Current Amount ']
Added Buy RXST 10.0
Added Buy IRTC 4.0
Added Sell CVS 16.0
Added Buy OSCR 20.0
Added Sell CRL 5.0
Added Sell STIM 1000.0
Added Buy MASS 240.0
Added Buy WVE 40.0
Added Buy GDRX 120.0
Added Buy QDEL 10.0
Added Buy NPCE 25.0
Added Buy PSNL 90.0
Added Sell ARQ 50.0
Added Sell KNTK 20.0
Added Buy OBIO 100.0
Added Buy ESOA 70.0
Added Sell APEI 55.0
Added Buy SEI 10.0
Added Buy ON 30.0
Added Buy VRT 2.0
Added Buy NVTS 350.0
Added Sell CHWY 30.0
Added Sell SPIR 76.0
Added Buy NXPI 5.0
Added Sell HUT 150.0
Added Buy MCHP 19.0
Added Buy STIM 500.0
Added Buy ATEC 30.0
Added Sell MRVL 20.0
Added Buy QTRX 120.0
Added Buy AMSC 251.0
Added Sell SPRY 40.0
Added Buy AAPL 4.0
Added Sell MASS 240.0
Added Sell IRTC 6.0
Added Sell CVRX 35.0
Added Sell O 14.0
Added Buy QDEL 10.0
Added Buy QTRX 60.0
Added Buy NPCE 25.0
Added Buy ON 20.0
Added Buy HOOD 2.0
Added Buy ON 7.0
Added Buy MPLX 1.0
Added Buy ON 29.0
Added Sell FNV 7.0
Added Buy CVRX 40.0
Added Buy IRTC 2.0
Added Sell PLOW 20.0
Added Buy IRTC 5.0
Added Sell FNV 8.0
Added Sell IRTC 2.0
Added Buy VSAT 80.0
Added Sell RTX 2.0
Added Sell GRAL 20.0
Added Sell NU 42.0
Added Sell AGX 7.0
Added Buy CEG 1.0
Added Sell AMSC 259.0
Added Buy AMD 8.0
Added Sell MTSI 3.0
Added Sell VRT 17.0
Added Sell WVE 40.0
Added Sell NTGR 10.0
Added Sell GLW 10.0
Added Sell CSCO 5.0
Added Sell LWLG 60.0
Added Sell RBBN 60.0
Added Sell VIAV 25.0
Added Sell ERIC 30.0
Added Sell COHR 2.0
Added Sell APH 1.0
Added Sell CLFD 5.0
Added Sell AVTR 50.0
Added Buy ESTC 10.0
Added Buy ONTO 6.0
Added Buy PATH 50.0
Added Buy TSM 8.0
Added Buy AMD 13.0
Added Buy ON 30.0
Added Buy BABA 15.0
Added Buy TWLO 4.0
Added Buy ESTC 5.0
Added Buy TKNO 83.03
Added Buy NOK 120.0
Added Sell AMSC 70.0
Added Buy TWLO 3.0
Added Buy NOK 100.0
Added Buy GAP 10.0
Added Buy STIM 200.0
Added Sell TSM 5.0
Added Buy TWLO 7.0
Added Sell HUT 100.0
Added Buy TKNO 200.0
Added Sell CLS 10.0
Added Sell LULU 4.0
Added Sell COHR 3.0
Added Sell CIEN 6.0
Added Buy ADSK 1.0
Added Buy PHR 20.0
Added Buy VEEV 4.0
Added Buy LNN 5.0
Added Buy TRMB 6.0
Added Buy CFLT 15.0
Added Sell HOOD 2.0
Added Sell MRVL 3.0
Added Sell CFLT 15.0
Added Sell MCHP 9.0
Added Buy LPRO 150.0
Added Buy DKNG 8.0
Added Buy GAP 40.0
Added Buy AGX 2.0
Added Buy ESTC 3.0
Added Sell POET 65.0
Added Buy PATH 20.0
Added Buy STIM 100.0
Added Buy PATH 20.0
Added Buy AGX 2.0
Added Buy LBRT 20.0
Added Buy PUMP 50.0
Added Buy STIM 100.0
Added Buy NOTV 500.0
Added Buy CERT 50.0
Added Buy GAP 80.0
Added Sell ATEC 30.0
Added Sell NPCE 50.0
Added Sell IRTC 3.0
Added Sell RXST 10.0
Added Sell GRAL 25.0
Added Sell QDEL 20.0
Added Buy NPCE 65.0
Added Sell AMSC 12.0
Added Sell AMSC 34.0
Added Buy STIM 380.0
Added Sell PTLO 100.0
Added Buy STIM 680.0
Added Buy STIM 600.0
Added Sell STIM 200.0
Added Buy TMUS 1.0
Added Buy AIRS 100.0
Added Buy GAP 5.0
Added Sell LEU 5.0
Added Buy TSLA 1.0
Added Sell ONTO 3.0
Added Buy TSLA 2.0
Added Sell ON 28.0
Added Buy AIRS 200.0
Added Buy QCOM 2.0
Added Buy GAP 9.0
Added Sell ON 30.0
Added Buy QCOM 8.0
Added Buy STIM 600.0
Added Buy ESOA 200.0
Added Sell ASPI 220.0
Added Buy ESOA 130.0
Added Buy SMTC 15.0
Added Sell NOTV 100.0
Added Sell POET 65.0
Added Sell DKNG 8.0
Added Buy TDY 1.0
Added Buy KTOS 4.0
Added Sell ESOA 30.0
Added Buy TDOC 50.0
Added Buy TDOC 18.0
Added Buy CERT 20.0
Added Sell VEEV 2.0
Added Buy PYPL 5.0
Added Buy PCRX 10.0
Added Buy RCEL 28.0
Added Sell ESOA 200.0
Added Buy RCEL 40.0
Added Buy PYPL 10.0
Added Buy TWLO 5.0
Added Sell STIM 180.0
Added Buy OSCR 40.0
Added Buy OSCR 15.0
Added Sell EXAS 30.0
Added Sell BABA 13.0
Added Buy TALK 300.0
Added Buy TDOC 70.0
Added Buy INSG 100.0
Added Sell BABA 1.0
Added Buy NET 2.0
Added Sell DLO 48.0
Added Sell PYPL 8.0
Added Sell XYZ 1.0
Added Sell XYZ 10.0
Added Sell INTU 1.0
Added Sell GM 10.0
Added Buy INDV 28.0
Added Sell BABA 10.0
Added Sell AAPL 2.0
Added Buy TDOC 20.0
Added Sell BABA 20.0
Added Sell MU 30.0
Added Sell AAPL 2.0
Added Sell AMD 8.0
Added Sell ASPI 200.0
Added Sell WTRG 5.0
Added Sell AMKR 5.0
Added Sell JXN 1.0
Added Sell CCJ 10.0
Added Sell FSLR 3.0
Added Sell ENPH 7.0
Added Sell NXT 12.0
Added Sell AG 37.0
Added Sell CSCO 5.0
Added Sell BABA 20.0
Added Sell TSM 10.0
Added Sell ASML 1.0
Added Sell AMZN 2.0
Added Sell NRG 8.0
Added Sell ACLS 7.0
Added Sell FORM 6.0
Added Sell STIM 200.0
Added Sell NTGR 10.0
Added Sell GLW 10.0
Added Sell KGC 12.0
Added Sell NET 2.0
Added Sell LEU 15.0
Added Sell LWLG 60.0
Added Sell KMI 20.0
Added Sell MPLX 1.0
Added Sell PATH 45.0
Added Sell ADSK 1.0
Added Sell TWLO 5.0
Added Sell SMTC 15.0
Added Sell RCEL 40.0
Added Sell MQ 120.0
Added Sell ONTO 3.0
Added Sell OBIO 50.0
Added Sell ERIC 30.0
Added Sell SBSW 80.0
Added Sell ASPI 200.0
Added Sell RCEL 28.0
Added Sell AMN 20.0
Added Sell GDRX 50.0
Added Sell NVTS 350.0
Added Sell U 20.0
Added Sell ARQT 35.0
Added Sell PTLO 50.0
Added Sell MU 5.0
Added Sell LPRO 150.0
Added Sell MCHP 10.0
Added Sell POWI 4.0
Added Sell TDY 1.0
Added Buy CMTL 400.0
Added Sell RBBN 60.0
Added Sell NOK 320.0
Added Sell APH 2.0
Added Sell INSG 100.0
Added Sell VIAV 25.0
Added Buy ESOA 110.0
Added Sell STIM 180.0
Added Sell PYPL 7.0
Added Sell RIOT 10.0
Added Sell TSM 3.0
Added Sell NOTV 200.0
Added Buy MU 9.0
Added Sell PROP 60.0
Added Buy REPL 30.0
Added Buy KTOS 8.0
Added Buy KTOS 30.0
Added Buy KTOS 29.0
Added Sell MPC 4.0
Added Buy STIM 300.0
Added Sell NE 18.0
Added Buy STIM 4.45
Added Buy ESOA 120.0
Added Buy TOI 600.0
Added Sell ON 28.0
Added Buy TALK 300.0
Added Buy ESOA 68.0
Added Sell ARIS 10.0
Added Sell OSCR 30.0
Added Buy ESOA 50.0
Added Buy HOOD 10.0
Added Sell HUT 100.0
Added Sell LBRT 49.0
Added Sell PUMP 100.0
Added Buy GDRX 100.0
Added Buy MQ 120.0
Added Buy LQDT 15.0
Added Buy ET 50.0
