1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Assets,Date,Ticker, Price ,Number of stocks, Bought , Bought Amount ,Total number bought,Total Amount bought,Sold,Sold Amount,Total Sold number of stocks,Total sold amount,Average sell price, Average buy price , Realized Profit , Current Amount 
"AMERICAN PUBLIC EDUCATION, INC. (XNAS:APEI)",24-Jul-24,APEI, $19.45 ,30.00, 30.00 , 583.50 ,55,895,0.00, $-   ,55.00," $1,069.20 ", $19.44 , $16.27 , $174.20 , -   
"ALPHA TEKNOVA, INC. (XNAS:TKNO)",24-Jul-24,TKNO, $3.43 ,80.00, 80.00 , 274.40 ,2166.026799,13370.91513,0.00, $-   ,2083.00," $11,153.28 ", $5.35 , $6.17 ," $(1,705.11)", 83.03 
"PAYPAL HOLDINGS, INC. (XNAS:PYPL)",24-Jul-24,PYPL, $58.68 ,-20.00, -   , -   ,223,14862.05,-20.00," $(1,173.60)",222.00," $15,255.44 ", $68.72 , $66.65 , $460.04 , 1.00 
PROGRESS SOFTWARE CORPORATION (XNAS:PRGS),24-Jul-24,PRGS, $55.93 ,8.00, 8.00 , 447.44 ,8,447.44,0.00, $-   ,8.00, $448.72 , $56.09 , $55.93 , $1.28 , -   
"TERADYNE, INC. (XNAS:TER)",25-Jul-24,TER, $124.02 ,3.00, 3.00 , 372.06 ,37,4100.11,0.00, $-   ,11.00," $1,238.10 ", $112.55 , $110.81 , $19.15 , 26.00 
PROGRESS SOFTWARE CORPORATION (XNAS:PRGS),25-Jul-24,PRGS, $56.09 ,-8.00, -   , -   ,8,447.44,-8.00, $(448.72),8.00, $448.72 , $56.09 , $55.93 , $1.28 , -   
"TERADYNE, INC. (XNAS:TER)",25-Jul-24,TER, $124.23 ,3.00, 3.00 , 372.69 ,37,4100.11,0.00, $-   ,11.00," $1,238.10 ", $112.55 , $110.81 , $19.15 , 26.00 
MARATHON PETROLEUM CORPORATION (XNYS:MPC),25-Jul-24,MPC, $168.76 ,5.00, 5.00 , 843.80 ,23,3826.89,0.00, $-   ,23.00," $3,605.23 ", $156.75 , $166.39 , $(221.66), -   
LULULEMON ATHLETICA INC. (XNAS:LULU),25-Jul-24,LULU, $251.84 ,2.00, 2.00 , 503.68 ,26,6272.24,0.00, $-   ,26.00," $6,958.92 ", $267.65 , $241.24 , $686.68 , -   
LULULEMON ATHLETICA INC. (XNAS:LULU),25-Jul-24,LULU, $262.69 ,4.00, 4.00 ," 1,050.76 ",26,6272.24,0.00, $-   ,26.00," $6,958.92 ", $267.65 , $241.24 , $686.68 , -   
"COINBASE GLOBAL, INC. (XNAS:COIN)",29-Jul-24,COIN, $252.10 ,1.00, 1.00 , 252.10 ,11,3624.34,0.00, $-   ,11.00," $3,399.23 ", $309.02 , $329.49 , $(225.11), -   
APPLIED DIGITAL CORPORATION (XNAS:APLD),29-Jul-24,APLD, $4.52 ,80.00, 80.00 , 361.60 ,380,2450.8,0.00, $-   ,380.00," $2,418.30 ", $6.36 , $6.45 , $(32.50), -   
IREN LIMITED (XNAS:IREN),29-Jul-24,IREN, $10.04 ,30.00, 30.00 , 301.20 ,48,545.28,0.00, $-   ,48.00, $470.40 , $9.80 , $11.36 , $(74.88), -   
"STRONGHOLD DIGITAL MINING, INC. (XNAS:SDIG)",29-Jul-24,SDIG, $3.28 ,100.00, 100.00 , 328.00 ,420,1650,0.00, $-   ,420.00," $2,037.20 ", $4.85 , $3.93 , $387.20 , -   
"CORE SCIENTIFIC, INC. (XNAS:CORZ)",29-Jul-24,CORZ, $10.55 ,20.00, 20.00 , 211.00 ,64,605.68,0.00, $-   ,64.00, $794.24 , $12.41 , $9.46 , $188.56 , -   
SS SPDR Bbg 1-3 Mo T-Bll (ARCX:BIL),29-Jul-24,BIL, $91.67 ,6.00, 6.00 , 550.02 ,419,38555.52,0.00, $-   ,419.00," $38,372.00 ", $91.58 , $92.02 , $(183.52), -   
